Invoice number,Customer id,Service id,Agent id,Billing date,Payment status,Transaction type,Mode of payment,Plan name,Plan category,Plan Charge,Tax amount,Actual amount,Billed amount,Paid amount,Balance amount,Plan start date,Plan end date,Zone area,Data buyed,Data used,Billing cycle,No of valid days,Leakage,Anomaly type,Type
INV11937,CUST6905,SERV139,AGENT75,2024-03-26,Paid,Sale,Credit Card,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2024-03-26,2024-05-25,South,100,,60,60,Yes,Duplicate entries,Duplicate entries
INV12804,CUST9461,SERV569,AGENT10,2023-11-13,Paid,Sale,Cash,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2023-11-13,2024-02-11,East,100,56.14153892435948,90,90,No,No Anomaly,No Anomaly
INV12805,CUST5988,SERV743,AGENT21,2023-09-28,Pending,Sale,Net Banking,Family,Prepaid,800,144.0,944.0,944.0,0.0,944.0,2023-09-28,2023-12-27,North,20,14.577550385990214,90,90,No,No Anomaly,No Anomaly
INV12806,CUST3969,SERV746,AGENT92,2022-10-01,Failed,Sale,UPI,Standard,Postpaid,400,72.0,472.0,472.0,0.0,472.0,2022-10-01,2022-11-30,East,100,29.69248747304959,60,60,No,No Anomaly,No Anomaly
INV12807,CUST5910,SERV796,AGENT17,2022-12-18,Paid,Sale,Net Banking,Premium,Prepaid,600,108.0,708.0,676.5851479930977,676.5851479930977,0.0,2022-12-18,2023-02-16,East,20,,60,60,Yes,Missing charges,Missing charges
INV12808,CUST3796,SERV989,AGENT37,2023-12-30,Failed,Sale,Credit Card,Premium,Prepaid,600,108.0,708.0,708.0,0.0,708.0,2023-12-30,2024-02-28,South,10,6.465659019056674,60,60,No,No Anomaly,No Anomaly
INV12809,CUST1682,SERV280,AGENT11,2024-03-06,Pending,Sale,Credit Card,Basic,Postpaid,200,36.0,236.0,236.0,188.02255168758933,47.97744831241067,2024-03-06,2024-04-05,East,100,,30,30,Yes,Under payment,Under payment
INV12810,CUST6461,SERV374,AGENT68,2023-11-30,Paid,Sale,UPI,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2023-11-30,2024-01-29,East,10,3.0678818421153666,60,60,No,No Anomaly,No Anomaly
INV12811,CUST7184,SERV747,AGENT53,2023-09-05,Paid,Sale,Cash,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2023-09-05,2023-11-04,South,200,66.72138787074459,60,60,No,No Anomaly,No Anomaly
INV12812,CUST1771,SERV230,AGENT74,2023-04-03,Pending,Sale,UPI,Premium,Prepaid,600,108.0,708.0,708.0,676.0423467748445,31.957653225155468,2023-04-03,2023-06-02,West,50,,60,60,Yes,Under payment,Under payment
INV12813,CUST9370,SERV162,AGENT21,2022-10-28,Paid,Sale,Credit Card,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2022-10-28,2023-01-26,South,10,9.404478883444735,90,90,No,No Anomaly,No Anomaly
INV12814,CUST5631,SERV692,AGENT58,2024-09-19,Pending,Sale,Cash,Basic,Postpaid,200,36.0,236.0,236.0,206.19928842599023,29.800711574009767,2024-09-19,2024-11-18,East,200,,60,60,Yes,Under payment,Under payment
INV12815,CUST1283,SERV404,AGENT76,2024-06-29,Paid,Sale,Credit Card,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2024-06-29,2024-09-27,West,200,96.51358018948457,90,90,No,No Anomaly,No Anomaly
INV12816,CUST1911,SERV667,AGENT75,2024-11-05,Paid,Sale,UPI,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2024-11-05,2025-02-03,South,10,1.7637035390125244,90,90,No,No Anomaly,No Anomaly
INV12817,CUST2358,SERV672,AGENT66,2022-11-25,Pending,Sale,UPI,Family,Prepaid,800,144.0,944.0,944.0,0.0,944.0,2022-11-25,2022-12-25,North,100,23.41160416932938,30,30,No,No Anomaly,No Anomaly
INV12818,CUST2282,SERV642,AGENT33,2022-07-20,Pending,Sale,Credit Card,Basic,Postpaid,200,36.0,236.0,236.0,207.051293675583,28.948706324417003,2022-07-20,2022-10-18,East,20,,90,90,Yes,Under payment,Under payment
INV12819,CUST7491,SERV859,AGENT29,2024-07-27,Paid,Sale,Net Banking,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2024-07-27,2024-09-25,South,100,93.13098526391857,60,60,No,No Anomaly,No Anomaly
INV12820,CUST9546,SERV749,AGENT53,2022-04-14,Paid,Sale,Cash,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2022-04-14,2022-06-13,East,10,7.958371134159906,60,60,No,No Anomaly,No Anomaly
INV12821,CUST8661,SERV316,AGENT52,2024-08-08,Paid,Sale,Net Banking,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2024-08-08,2024-09-07,South,200,207.1279446802974,30,30,Yes,Extra data usage,Extra data usage
INV12822,CUST9490,SERV987,AGENT16,2024-11-09,Paid,Sale,UPI,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2024-11-09,2025-02-07,North,100,104.7293097392147,90,90,Yes,Extra data usage,Extra data usage
INV12823,CUST2412,SERV988,AGENT83,2023-09-09,Paid,Sale,Cash,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2023-09-09,2023-10-09,North,20,18.143066838244387,30,30,No,No Anomaly,No Anomaly
INV18072,CUST9021,SERV588,AGENT85,2023-04-30,Paid,Sale,UPI,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2023-04-30,2023-06-29,East,10,,60,60,Yes,Duplicate entries,Duplicate entries
INV12825,CUST7340,SERV276,AGENT14,2024-08-07,Pending,Sale,Net Banking,Family,Prepaid,800,144.0,944.0,944.0,912.1026666482132,31.897333351786756,2024-08-07,2024-10-06,North,50,,60,60,Yes,Under payment,Under payment
INV12826,CUST9600,SERV335,AGENT46,2024-12-28,Paid,Sale,UPI,Basic,Postpaid,200,36.0,236.0,236.0,272.6266046485,-36.626604648500006,2024-12-28,2025-01-27,South,20,,30,30,Yes,Excess payment,Excess payment
INV18297,CUST8162,SERV200,AGENT61,2024-09-23,Paid,Sale,Credit Card,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2024-09-23,2024-10-23,South,200,,30,30,Yes,Duplicate entries,Duplicate entries
INV12828,CUST5060,SERV987,AGENT57,2022-09-08,Pending,Sale,Net Banking,Family,Prepaid,800,144.0,944.0,944.0,0.0,944.0,2022-09-08,2022-10-08,North,200,157.8004293960538,30,30,No,No Anomaly,No Anomaly
INV12829,CUST4854,SERV884,AGENT35,2022-12-05,Paid,Sale,UPI,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2022-12-05,2023-01-04,East,50,35.109586657398076,30,30,No,No Anomaly,No Anomaly
INV12830,CUST4977,SERV243,AGENT42,2023-08-14,Paid,Sale,Cash,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2023-08-14,2023-09-13,West,200,76.55274990187748,30,30,No,No Anomaly,No Anomaly
INV12831,CUST6340,SERV997,AGENT95,2024-03-25,Paid,Sale,Credit Card,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2024-03-25,2024-05-24,South,50,39.79875598030481,60,60,No,No Anomaly,No Anomaly
INV12832,CUST6282,SERV157,AGENT96,2022-08-08,Paid,Sale,Cash,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2022-08-08,2022-11-06,South,50,35.12758026729844,90,90,No,No Anomaly,No Anomaly
INV12833,CUST5685,SERV730,AGENT82,2023-02-14,Paid,Refund,Net Banking,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2023-02-14,2023-03-16,North,20,6.290731676912332,30,30,No,No Anomaly,No Anomaly
INV12834,CUST2285,SERV491,AGENT71,2022-12-16,Paid,Sale,Cash,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2022-12-16,2023-01-15,North,10,5.823243863053605,30,30,No,No Anomaly,No Anomaly
INV12835,CUST4776,SERV707,AGENT94,2022-08-17,Pending,Sale,UPI,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2022-08-17,2022-09-16,West,200,,30,32,Yes,Usage mismatch,Usage mismatch
INV12836,CUST9928,SERV945,AGENT51,2024-08-26,Paid,Sale,UPI,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2024-08-26,2024-11-24,East,50,15.18589142310947,90,90,No,No Anomaly,No Anomaly
INV12837,CUST9104,SERV359,AGENT53,2023-12-11,Paid,Sale,Cash,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2023-12-11,2024-01-10,North,50,46.60076383413077,30,30,No,No Anomaly,No Anomaly
INV12838,CUST4080,SERV767,AGENT78,2022-11-15,Paid,Sale,UPI,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2022-11-15,2022-12-15,East,100,99.07253979989942,30,30,No,No Anomaly,No Anomaly
INV12839,CUST6381,SERV368,AGENT62,2024-04-06,Paid,Sale,Net Banking,Basic,Postpaid,200,36.0,236.0,236.0,254.834911224252,-18.83491122425201,2024-04-06,2024-06-05,East,50,,60,60,Yes,Excess payment,Excess payment
INV12840,CUST8061,SERV524,AGENT65,2024-07-18,Paid,Sale,UPI,Premium,Prepaid,600,108.0,708.0,691.988078997895,691.988078997895,0.0,2024-07-18,2024-10-16,North,100,,90,90,Yes,Missing charges,Missing charges
INV12907,CUST8459,SERV397,AGENT89,2024-05-02,Paid,Sale,Cash,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2024-05-02,2024-07-31,South,10,,90,90,Yes,Duplicate entries,Duplicate entries
INV12842,CUST2641,SERV704,AGENT11,2022-11-03,Failed,Sale,Credit Card,Family,Prepaid,800,144.0,944.0,944.0,0.0,944.0,2022-11-03,2023-01-02,North,200,4.068024688119731,60,60,No,No Anomaly,No Anomaly
INV12843,CUST8304,SERV517,AGENT53,2024-03-11,Paid,Sale,Credit Card,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2024-03-11,2024-05-10,North,20,17.78110190516977,60,60,No,No Anomaly,No Anomaly
INV12844,CUST7714,SERV760,AGENT74,2024-09-27,Pending,Sale,UPI,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2024-09-27,2024-10-27,North,100,48.93060006893889,30,30,No,No Anomaly,No Anomaly
INV12845,CUST8798,SERV112,AGENT38,2024-06-20,Paid,Sale,Credit Card,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2024-06-20,2024-08-19,North,50,53.495766101192565,60,60,Yes,Extra data usage,Extra data usage
INV12846,CUST9195,SERV311,AGENT92,2024-12-02,Pending,Sale,Cash,Basic,Postpaid,200,36.0,236.0,203.4124388506839,0.0,203.4124388506839,2024-12-02,2025-03-02,North,10,,90,90,Yes,Missing charges,Missing charges
INV12847,CUST2449,SERV223,AGENT77,2023-12-29,Pending,Sale,Cash,Standard,Postpaid,400,72.0,472.0,472.0,425.8877894770785,46.11221052292149,2023-12-29,2024-03-28,West,20,,90,90,Yes,Under payment,Under payment
INV12848,CUST9585,SERV746,AGENT73,2023-04-02,Failed,Sale,Credit Card,Standard,Postpaid,400,72.0,472.0,472.0,0.0,472.0,2023-04-02,2023-07-01,North,10,2.630569723892772,90,90,No,No Anomaly,No Anomaly
INV12849,CUST8791,SERV715,AGENT26,2022-04-08,Pending,Sale,UPI,Standard,Postpaid,400,72.0,472.0,472.0,0.0,472.0,2022-04-08,2022-05-08,West,50,13.824542021426755,30,30,No,No Anomaly,No Anomaly
INV12850,CUST7066,SERV822,AGENT26,2022-02-20,Paid,Sale,Cash,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2022-02-20,2022-04-21,West,100,75.87806292415391,60,60,No,No Anomaly,No Anomaly
INV12851,CUST2802,SERV512,AGENT63,2024-04-09,Pending,Sale,Net Banking,Family,Prepaid,800,144.0,944.0,944.0,0.0,944.0,2024-04-09,2024-05-09,West,10,13.128358480698425,30,30,Yes,Extra data usage,Extra data usage
INV12852,CUST8717,SERV141,AGENT73,2022-12-30,Paid,Sale,Cash,Premium,Prepaid,600,108.0,708.0,708.0,726.7641008136146,-18.76410081361462,2022-12-30,2023-02-28,West,100,,60,60,Yes,Excess payment,Excess payment
INV12853,CUST3165,SERV355,AGENT24,2022-08-27,Failed,Sale,Credit Card,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2022-08-27,2022-09-26,North,10,,30,35,Yes,Usage mismatch,Usage mismatch
INV12854,CUST7471,SERV822,AGENT36,2023-10-06,Pending,Sale,Credit Card,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2023-10-06,2023-12-05,North,200,132.90273193895993,60,60,No,No Anomaly,No Anomaly
INV12855,CUST9610,SERV743,AGENT20,2023-11-23,Paid,Sale,Net Banking,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2023-11-23,2024-02-21,South,200,151.65636048000718,90,90,No,No Anomaly,No Anomaly
INV12856,CUST6222,SERV172,AGENT48,2023-05-08,Paid,Sale,UPI,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2023-05-08,2023-07-07,East,200,90.25976668211923,60,60,No,No Anomaly,No Anomaly
INV12857,CUST5600,SERV573,AGENT38,2022-12-12,Failed,Sale,Cash,Standard,Postpaid,400,72.0,472.0,472.0,0.0,472.0,2022-12-12,2023-02-10,East,50,40.24398521600974,60,60,No,No Anomaly,No Anomaly
INV12858,CUST2655,SERV635,AGENT79,2024-06-19,Paid,Sale,Cash,Basic,Postpaid,200,36.0,236.0,221.22990484223746,221.22990484223746,0.0,2024-06-19,2024-09-17,West,100,,90,90,Yes,Missing charges,Missing charges
INV12859,CUST4739,SERV742,AGENT82,2023-02-05,Pending,Sale,Net Banking,Premium,Prepaid,600,108.0,708.0,708.0,0.0,708.0,2023-02-05,2023-04-06,West,10,5.450338088195522,60,60,No,No Anomaly,No Anomaly
INV12860,CUST4792,SERV508,AGENT77,2024-11-28,Pending,Sale,Cash,Standard,Postpaid,400,72.0,472.0,472.0,0.0,472.0,2024-11-28,2025-02-26,South,20,19.020112341268746,90,90,No,No Anomaly,No Anomaly
INV12861,CUST2645,SERV844,AGENT35,2023-06-03,Paid,Sale,Credit Card,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2023-06-03,2023-07-03,West,20,9.05004675442797,30,30,No,No Anomaly,No Anomaly
INV12862,CUST3338,SERV549,AGENT41,2022-07-19,Pending,Sale,Cash,Basic,Postpaid,200,36.0,236.0,236.0,219.90026120030947,16.099738799690527,2022-07-19,2022-09-17,East,10,,60,60,Yes,Under payment,Under payment
INV12863,CUST5335,SERV836,AGENT53,2023-09-11,Failed,Sale,Credit Card,Family,Prepaid,800,144.0,944.0,944.0,0.0,944.0,2023-09-11,2023-11-10,North,200,102.71417680121075,60,60,No,No Anomaly,No Anomaly
INV12864,CUST8876,SERV429,AGENT88,2022-09-30,Paid,Refund,Cash,Standard,Postpaid,400,72.0,472.0,472.0,513.7867379207895,-41.786737920789506,2022-09-30,2022-10-30,South,50,,30,30,Yes,Excess payment,Excess payment
INV12865,CUST7060,SERV434,AGENT94,2022-11-12,Paid,Sale,Credit Card,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2022-11-12,2023-01-11,East,10,3.434063930791739,60,60,No,No Anomaly,No Anomaly
INV12866,CUST6438,SERV628,AGENT61,2023-10-02,Paid,Sale,Net Banking,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2023-10-02,2023-11-01,West,100,70.144467085381,30,30,No,No Anomaly,No Anomaly
INV12867,CUST7291,SERV267,AGENT54,2022-02-17,Paid,Sale,Net Banking,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2022-02-17,2022-03-19,North,10,0.40516665876570435,30,30,No,No Anomaly,No Anomaly
INV12868,CUST8009,SERV615,AGENT64,2022-08-17,Paid,Sale,Credit Card,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2022-08-17,2022-10-16,East,200,102.36629925552916,60,60,No,No Anomaly,No Anomaly
INV12869,CUST8853,SERV842,AGENT87,2024-01-27,Paid,Sale,Credit Card,Family,Prepaid,800,144.0,944.0,944.0,971.3012163246402,-27.301216324640222,2024-01-27,2024-04-26,West,200,,90,90,Yes,Excess payment,Excess payment
INV12870,CUST9079,SERV607,AGENT45,2023-09-08,Paid,Sale,Credit Card,Premium,Prepaid,600,108.0,708.0,708.0,724.4837661646618,-16.4837661646618,2023-09-08,2023-12-07,North,50,,90,90,Yes,Excess payment,Excess payment
INV12871,CUST2273,SERV352,AGENT38,2024-02-17,Pending,Sale,Credit Card,Family,Prepaid,800,144.0,944.0,944.0,0.0,944.0,2024-02-17,2024-03-18,South,10,3.4372349069251005,30,30,No,No Anomaly,No Anomaly
INV12872,CUST9338,SERV780,AGENT31,2023-04-10,Paid,Sale,UPI,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2023-04-10,2023-06-09,North,20,,60,63,Yes,Usage mismatch,Usage mismatch
INV12873,CUST8355,SERV679,AGENT94,2024-02-12,Paid,Sale,Cash,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2024-02-12,2024-04-12,East,50,38.031166942704324,60,60,No,No Anomaly,No Anomaly
INV12874,CUST6264,SERV561,AGENT49,2024-05-14,Paid,Sale,UPI,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2024-05-14,2024-08-12,South,10,6.178982011214281,90,90,No,No Anomaly,No Anomaly
INV12875,CUST1671,SERV671,AGENT12,2023-12-10,Paid,Sale,Cash,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2023-12-10,2024-01-09,East,200,,30,34,Yes,Usage mismatch,Usage mismatch
INV12876,CUST5323,SERV580,AGENT33,2023-10-26,Paid,Sale,UPI,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2023-10-26,2023-12-25,West,200,42.38706395093163,60,60,No,No Anomaly,No Anomaly
INV12877,CUST3745,SERV889,AGENT57,2024-07-20,Paid,Sale,Cash,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2024-07-20,2024-10-18,East,100,55.16236319085611,90,90,No,No Anomaly,No Anomaly
INV12878,CUST2133,SERV684,AGENT53,2024-05-03,Paid,Sale,UPI,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2024-05-03,2024-08-01,East,20,17.51241726429306,90,90,No,No Anomaly,No Anomaly
INV12879,CUST8707,SERV394,AGENT79,2023-11-16,Paid,Sale,Net Banking,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2023-11-16,2024-01-15,East,20,7.698688112330652,60,60,No,No Anomaly,No Anomaly
INV12880,CUST2288,SERV354,AGENT89,2024-08-17,Failed,Sale,Credit Card,Family,Prepaid,800,144.0,944.0,944.0,0.0,944.0,2024-08-17,2024-10-16,South,50,34.992929801527836,60,60,No,No Anomaly,No Anomaly
INV12881,CUST4219,SERV104,AGENT73,2023-02-03,Pending,Sale,Credit Card,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2023-02-03,2023-03-05,East,10,13.731002523915656,30,30,Yes,Extra data usage,Extra data usage
INV12882,CUST4240,SERV768,AGENT47,2023-10-07,Paid,Sale,Cash,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2023-10-07,2023-12-06,North,200,22.45518291314541,60,60,No,No Anomaly,No Anomaly
INV12883,CUST9823,SERV955,AGENT42,2023-11-21,Failed,Sale,Cash,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2023-11-21,2023-12-21,East,10,7.08406459536032,30,30,No,No Anomaly,No Anomaly
INV12884,CUST5980,SERV157,AGENT73,2024-06-20,Paid,Sale,Net Banking,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2024-06-20,2024-09-18,West,100,24.354591344124987,90,90,No,No Anomaly,No Anomaly
INV12885,CUST9220,SERV509,AGENT69,2024-05-18,Pending,Sale,UPI,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2024-05-18,2024-08-16,East,100,15.449429694059901,90,90,No,No Anomaly,No Anomaly
INV12886,CUST9836,SERV570,AGENT39,2022-11-27,Paid,Sale,Cash,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2022-11-27,2023-02-25,West,100,,90,95,Yes,Usage mismatch,Usage mismatch
INV12887,CUST2024,SERV335,AGENT11,2024-04-15,Failed,Sale,Credit Card,Premium,Prepaid,600,108.0,708.0,683.6787864090386,0.0,683.6787864090386,2024-04-15,2024-07-14,West,10,,90,90,Yes,Missing charges,Missing charges
INV12888,CUST7092,SERV242,AGENT98,2023-04-19,Paid,Sale,Credit Card,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2023-04-19,2023-07-18,East,200,50.02215135738189,90,90,No,No Anomaly,No Anomaly
INV12889,CUST1809,SERV742,AGENT31,2022-02-02,Paid,Sale,Cash,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2022-02-02,2022-05-03,East,100,8.442749410686268,90,90,No,No Anomaly,No Anomaly
INV12890,CUST5546,SERV619,AGENT63,2022-08-20,Paid,Sale,Cash,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2022-08-20,2022-11-18,North,200,,90,91,Yes,Usage mismatch,Usage mismatch
INV12891,CUST4656,SERV657,AGENT84,2023-04-21,Paid,Sale,Cash,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2023-04-21,2023-07-20,West,10,1.4444647850653702,90,90,No,No Anomaly,No Anomaly
INV12892,CUST8326,SERV532,AGENT44,2023-08-07,Paid,Sale,Credit Card,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2023-08-07,2023-09-06,South,20,19.73479824809818,30,30,No,No Anomaly,No Anomaly
INV12893,CUST5442,SERV237,AGENT54,2022-03-18,Pending,Refund,Credit Card,Premium,Prepaid,600,108.0,708.0,708.0,0.0,708.0,2022-03-18,2022-05-17,South,200,91.91966413045,60,60,No,No Anomaly,No Anomaly
INV12894,CUST8936,SERV366,AGENT91,2023-11-06,Paid,Sale,UPI,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2023-11-06,2023-12-06,South,100,13.036531836694042,30,30,No,No Anomaly,No Anomaly
INV12895,CUST1876,SERV508,AGENT81,2022-01-14,Pending,Sale,Credit Card,Premium,Prepaid,600,108.0,708.0,708.0,672.5898451378927,35.41015486210733,2022-01-14,2022-03-15,East,10,,60,60,Yes,Under payment,Under payment
INV12896,CUST4376,SERV542,AGENT45,2024-01-09,Pending,Refund,UPI,Standard,Postpaid,400,72.0,472.0,472.0,427.19320042278406,44.80679957721594,2024-01-09,2024-02-08,North,10,,30,30,Yes,Under payment,Under payment
INV12897,CUST5391,SERV470,AGENT58,2023-05-01,Pending,Sale,Cash,Family,Prepaid,800,144.0,944.0,944.0,0.0,944.0,2023-05-01,2023-05-31,North,10,2.46048697924657,30,30,No,No Anomaly,No Anomaly
INV12898,CUST6740,SERV795,AGENT96,2022-05-17,Paid,Sale,Cash,Premium,Prepaid,600,108.0,708.0,708.0,750.5344600593963,-42.53446005939634,2022-05-17,2022-06-16,South,10,,30,30,Yes,Excess payment,Excess payment
INV12899,CUST9788,SERV260,AGENT52,2024-10-12,Paid,Sale,Credit Card,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2024-10-12,2024-11-11,North,200,49.8091014695444,30,30,No,No Anomaly,No Anomaly
INV10236,CUST8366,SERV121,AGENT61,2024-01-30,Failed,Sale,UPI,Family,Prepaid,800,144.0,944.0,944.0,0.0,944.0,2024-01-30,2024-03-30,South,100,,60,60,Yes,Duplicate entries,Duplicate entries
INV12901,CUST7553,SERV970,AGENT11,2024-08-31,Pending,Sale,Credit Card,Basic,Postpaid,200,36.0,236.0,236.0,199.11265162224015,36.88734837775985,2024-08-31,2024-10-30,East,50,,60,60,Yes,Under payment,Under payment
INV12902,CUST1002,SERV108,AGENT55,2023-07-16,Paid,Sale,UPI,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2023-07-16,2023-09-14,West,10,4.305832136601281,60,60,No,No Anomaly,No Anomaly
INV12903,CUST9466,SERV344,AGENT39,2024-01-09,Pending,Sale,UPI,Standard,Postpaid,400,72.0,472.0,472.0,0.0,472.0,2024-01-09,2024-02-08,South,100,89.13514420013135,30,30,No,No Anomaly,No Anomaly
INV12904,CUST8087,SERV720,AGENT10,2023-03-27,Paid,Sale,Cash,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2023-03-27,2023-05-26,North,10,14.715625780736996,60,60,Yes,Extra data usage,Extra data usage
INV12905,CUST1309,SERV562,AGENT92,2023-12-22,Pending,Sale,UPI,Basic,Postpaid,200,36.0,236.0,236.0,204.93819276778635,31.061807232213653,2023-12-22,2024-03-21,North,10,,90,90,Yes,Under payment,Under payment
INV12906,CUST1687,SERV960,AGENT91,2023-04-10,Failed,Sale,UPI,Standard,Postpaid,400,72.0,472.0,472.0,0.0,472.0,2023-04-10,2023-06-09,South,20,14.217880761330285,60,60,No,No Anomaly,No Anomaly
INV12907,CUST2327,SERV837,AGENT39,2024-12-30,Paid,Sale,Credit Card,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2024-12-30,2025-01-29,West,50,17.56375727198836,30,30,No,No Anomaly,No Anomaly
INV12908,CUST7664,SERV911,AGENT30,2023-07-06,Paid,Sale,Cash,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2023-07-06,2023-08-05,West,10,,30,33,Yes,Usage mismatch,Usage mismatch
INV12909,CUST3178,SERV799,AGENT36,2022-07-17,Paid,Sale,Cash,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2022-07-17,2022-08-16,North,50,16.56059251042566,30,30,No,No Anomaly,No Anomaly
INV12910,CUST3273,SERV441,AGENT31,2024-09-10,Paid,Sale,UPI,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2024-09-10,2024-12-09,South,10,3.8921400138376194,90,90,No,No Anomaly,No Anomaly
INV12911,CUST7367,SERV984,AGENT73,2024-08-13,Paid,Sale,UPI,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2024-08-13,2024-09-12,South,20,3.705691040576564,30,30,No,No Anomaly,No Anomaly
INV12912,CUST5996,SERV384,AGENT38,2022-01-06,Paid,Sale,UPI,Family,Prepaid,800,144.0,944.0,944.0,971.4270082069465,-27.42700820694654,2022-01-06,2022-04-06,East,20,,90,90,Yes,Excess payment,Excess payment
INV12913,CUST3429,SERV897,AGENT72,2023-11-21,Failed,Sale,Credit Card,Standard,Postpaid,400,72.0,472.0,472.0,0.0,472.0,2023-11-21,2024-02-19,South,100,4.695406905190136,90,90,No,No Anomaly,No Anomaly
INV12914,CUST2692,SERV340,AGENT97,2022-02-16,Pending,Refund,Credit Card,Basic,Postpaid,200,36.0,236.0,236.0,213.95111257218844,22.048887427811565,2022-02-16,2022-04-17,North,10,,60,60,Yes,Under payment,Under payment
INV12915,CUST3947,SERV577,AGENT94,2023-06-18,Failed,Sale,Credit Card,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2023-06-18,2023-07-18,South,20,2.6022759036050336,30,30,No,No Anomaly,No Anomaly
INV12916,CUST8158,SERV166,AGENT45,2023-01-30,Failed,Sale,Credit Card,Premium,Prepaid,600,108.0,708.0,708.0,0.0,708.0,2023-01-30,2023-04-30,North,100,45.15442933668483,90,90,No,No Anomaly,No Anomaly
INV12917,CUST5676,SERV545,AGENT66,2023-10-12,Failed,Sale,Cash,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2023-10-12,2023-12-11,North,10,4.050224649425727,60,60,No,No Anomaly,No Anomaly
